external_id,name,is_tbd,latitude,longitude,raw
zuwara-libya,"Zuwara, Libya",False,32.93337907602355,12.083366456623823,"{""type"": ""Feature"", ""properties"": {""id"": ""zuwara-libya"", ""name"": ""Zuwara, Libya"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [12.083366456623823, 32.93337907602355]}}"
hermosa-beach-ca-united-states,"Hermosa Beach, CA, United States",False,33.862232632157735,-118.39954892055475,"{""type"": ""Feature"", ""properties"": {""id"": ""hermosa-beach-ca-united-states"", ""name"": ""Hermosa Beach, CA, United States"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-118.39954892055475, 33.862232632157735]}}"
sandy-point-vic-australia,"Sandy Point, VIC, Australia",False,-38.82018266620627,146.11969728527944,"{""type"": ""Feature"", ""properties"": {""id"": ""sandy-point-vic-australia"", ""name"": ""Sandy Point, VIC, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [146.11969728527944, -38.82018266620627]}}"
four-mile-bluff-tas-australia,"Four Mile Bluff, TAS, Australia",False,-41.03327707528322,146.85016551780996,"{""type"": ""Feature"", ""properties"": {""id"": ""four-mile-bluff-tas-australia"", ""name"": ""Four Mile Bluff, TAS, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [146.85016551780996, -41.03327707528322]}}"
mcgaurans-beach-vic-australia,"McGaurans Beach, VIC, Australia",False,-38.44361560267599,147.07125911118302,"{""type"": ""Feature"", ""properties"": {""id"": ""mcgaurans-beach-vic-australia"", ""name"": ""McGaurans Beach, VIC, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [147.07125911118302, -38.44361560267599]}}"
stanley-tas-australia,"Stanley, TAS, Australia",False,-40.760375144220674,145.29411193263084,"{""type"": ""Feature"", ""properties"": {""id"": ""stanley-tas-australia"", ""name"": ""Stanley, TAS, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [145.29411193263084, -40.760375144220674]}}"
inverloch-vic-australia,"Inverloch, VIC, Australia",False,-38.63345276915476,145.72946318672496,"{""type"": ""Feature"", ""properties"": {""id"": ""inverloch-vic-australia"", ""name"": ""Inverloch, VIC, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [145.72946318672496, -38.63345276915476]}}"
boat-harbour-tas-australia,"Boat Harbour, TAS, Australia",False,-40.95086828582336,145.62379919907835,"{""type"": ""Feature"", ""properties"": {""id"": ""boat-harbour-tas-australia"", ""name"": ""Boat Harbour, TAS, Australia"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [145.62379919907835, -40.95086828582336]}}"
balboa-panama,"Balboa, Panama",False,8.950027090049982,-79.56667848090554,"{""type"": ""Feature"", ""properties"": {""id"": ""balboa-panama"", ""name"": ""Balboa, Panama"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-79.56667848090554, 8.950027090049982]}}"
manta-ecuador,"Manta, Ecuador",False,-0.950019548909037,-80.71618938533148,"{""type"": ""Feature"", ""properties"": {""id"": ""manta-ecuador"", ""name"": ""Manta, Ecuador"", ""is_tbd"": false}, ""geometry"": {""type"": ""Point"", ""coordinates"": [-80.71618938533148, -0.950019548909037]}}"
